ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD79CD7585C4676AD6,2021-06-08 00:00:00,001,颗粒物,1.34,20,,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:45.687,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD79CD7585C4676AD6,2021-06-08 00:00:00,002,二氧化硫,54.21,80,,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:45.687,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD79CD7585C4676AD6,2021-06-08 00:00:00,003,氮氧化物,195.97,250,,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:45.687,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD79CD7585C4676AD6,2021-06-08 00:00:00,004,一氧化碳,1.91,80,,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:45.687,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD79CD7585C4676AD6,2021-06-08 00:00:00,008,氯化氢,8.08,50,,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:45.687,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD3F448E20EA6086C8,2021-06-08 00:00:00,001,颗粒物,3.94,20,CEMS维护,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:37.81,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD3F448E20EA6086C8,2021-06-08 00:00:00,002,二氧化硫,51.07,80,CEMS维护,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:37.81,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD3F448E20EA6086C8,2021-06-08 00:00:00,003,氮氧化物,204.33,250,CEMS维护,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:37.81,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD3F448E20EA6086C8,2021-06-08 00:00:00,004,一氧化碳,2.15,80,CEMS维护,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:37.81,20210608
10CCFF6ADF1A56DD7F8BCF4E5AD92CB4,10CCFF6ADF1A56DD3F448E20EA6086C8,2021-06-08 00:00:00,008,氯化氢,15.44,50,CEMS维护,0,0,2021-06-09T11:42:37.81,2021-06-09T11:42:37.81,20210608
