ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2021-01-01 00:00:00,001,颗粒物,1.79,20,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2021-01-01 00:00:00,002,二氧化硫,9.44,80,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2021-01-01 00:00:00,003,氮氧化物,189.59,250,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2021-01-01 00:00:00,004,一氧化碳,6.84,80,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2021-01-01 00:00:00,008,氯化氢,2.91,50,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2021-01-01 00:00:00,001,颗粒物,5.53,20,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2021-01-01 00:00:00,002,二氧化硫,6.76,80,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2021-01-01 00:00:00,003,氮氧化物,195.15,250,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2021-01-01 00:00:00,004,一氧化碳,10.14,80,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2021-01-01 00:00:00,008,氯化氢,5.9,50,,0,0,2021-01-02T13:29:44.66,2021-01-02T13:29:47.92,20210101
