ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
6BB71200415564E0CFC7197F017468A5,6BB71200415564E04535B1BE535F8BE9,2021-06-11 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:27.58,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E04535B1BE535F8BE9,2021-06-11 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:27.58,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E04535B1BE535F8BE9,2021-06-11 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:27.58,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E04535B1BE535F8BE9,2021-06-11 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:27.58,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E04535B1BE535F8BE9,2021-06-11 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:27.58,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E09F3FA0E8B33F334B,2021-06-11 00:00:00,001,颗粒物,6.37,20,,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:32.49,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E09F3FA0E8B33F334B,2021-06-11 00:00:00,002,二氧化硫,27.07,80,,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:32.49,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E09F3FA0E8B33F334B,2021-06-11 00:00:00,003,氮氧化物,145.5,250,,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:32.49,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E09F3FA0E8B33F334B,2021-06-11 00:00:00,004,一氧化碳,34.9,80,,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:32.49,20210611
6BB71200415564E0CFC7197F017468A5,6BB71200415564E09F3FA0E8B33F334B,2021-06-11 00:00:00,008,氯化氢,34.21,50,,0,0,2021-06-12T09:21:27.58,2021-06-12T09:21:32.49,20210611
